"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 21 11:45:30 GMT 2023","Fri Apr 21 11:45:33 GMT 2023","3307","test","test_conduit","TestConduit","","","test_logout",""
"passed","Fri Apr 21 11:44:27 GMT 2023","Fri Apr 21 11:44:33 GMT 2023","5416","test","test_conduit","TestConduit","","","test_registration",""
"passed","Fri Apr 21 11:45:05 GMT 2023","Fri Apr 21 11:45:14 GMT 2023","8920","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Fri Apr 21 11:44:39 GMT 2023","Fri Apr 21 11:44:40 GMT 2023","1071","test","test_conduit","TestConduit","","","test_data_cookies",""
"passed","Fri Apr 21 11:45:15 GMT 2023","Fri Apr 21 11:45:25 GMT 2023","10026","test","test_conduit","TestConduit","","","test_delete_data",""
"passed","Fri Apr 21 11:44:34 GMT 2023","Fri Apr 21 11:44:38 GMT 2023","4260","test","test_conduit","TestConduit","","","test_login",""
"passed","Fri Apr 21 11:44:45 GMT 2023","Fri Apr 21 11:44:47 GMT 2023","2349","test","test_conduit","TestConduit","","","test_all_pages",""
"passed","Fri Apr 21 11:44:41 GMT 2023","Fri Apr 21 11:44:44 GMT 2023","2408","test","test_conduit","TestConduit","","","test_list_data",""
"passed","Fri Apr 21 11:44:48 GMT 2023","Fri Apr 21 11:44:53 GMT 2023","5085","test","test_conduit","TestConduit","","","test_new_data",""
"passed","Fri Apr 21 11:44:54 GMT 2023","Fri Apr 21 11:45:04 GMT 2023","9706","test","test_conduit","TestConduit","","","test_read_data",""
"passed","Fri Apr 21 11:45:26 GMT 2023","Fri Apr 21 11:45:28 GMT 2023","2446","test","test_conduit","TestConduit","","","test_write_data",""
